epoch,test_loss,test_accuracy
1,2.3,9.97
2,2.3,9.96
3,2.3,9.96
4,2.3,10.03
5,2.3,10.46
6,2.3,11.95
7,2.3,14.53
8,2.29,17.87
9,2.29,20.43
10,2.29,19.7
11,2.29,15.62
12,2.28,12.1
13,2.28,10.7
14,2.27,10.22
15,2.25,10.27
16,2.23,19.68
17,2.21,21.1
18,2.19,21.42
19,2.18,20.12
20,2.17,19.98
21,2.15,20.22
22,2.11,20.93
23,2.07,22.28
24,2.02,23.56
25,1.97,24.5
26,1.91,25.56
27,1.86,27.93
28,1.8,30.85
29,1.75,33.49
30,1.71,35.85
31,1.66,37.22
32,1.63,37.77
33,1.59,38.3
34,1.57,38.55
35,1.54,38.86
36,1.52,39.19
37,1.5,39.29
38,1.49,39.5
39,1.47,39.72
40,1.46,39.89
41,1.44,40.42
42,1.44,40.51
43,1.42,41.03
44,1.42,41.19
45,1.41,41.58
46,1.4,41.94
47,1.4,42.45
48,1.38,43.06
49,1.38,43.19
50,1.38,43.37
51,1.36,43.87
52,1.37,43.95
53,1.36,44.36
54,1.36,44.49
55,1.35,44.78
56,1.34,45.04
57,1.34,45.08
58,1.34,45.14
59,1.32,45.72
60,1.33,45.77
61,1.32,46.3
62,1.32,47.08
63,1.31,47.87
64,1.31,48.63
65,1.31,49.75
66,1.3,50.42
67,1.29,51.9
68,1.29,51.61
69,1.28,52.14
70,1.28,53.18
71,1.28,53.25
72,1.28,53.47
73,1.27,54.46
74,1.27,54.78
75,1.27,55.35
76,1.26,55.52
77,1.26,55.45
78,1.26,55.74
79,1.25,55.69
80,1.26,55.79
81,1.25,56.09
82,1.24,56.72
83,1.24,56.78
84,1.24,56.65
85,1.24,56.65
86,1.23,56.8
87,1.23,56.96
88,1.24,56.61
89,1.23,56.99
90,1.22,57.32
91,1.22,57.29
92,1.21,58.18
93,1.22,57.89
94,1.21,58.2
95,1.21,58.43
96,1.21,58.68
97,1.22,58.37
98,1.21,58.54
99,1.21,58.78
100,1.21,58.74
101,1.2,59.01
102,1.2,59.0
103,1.2,59.12
104,1.2,59.37
105,1.19,59.58
106,1.2,59.41
107,1.2,59.8
108,1.19,60.14
109,1.19,60.17
110,1.19,60.44
111,1.18,60.39
112,1.18,60.45
113,1.18,60.52
114,1.18,60.67
115,1.18,60.88
116,1.18,61.0
117,1.18,60.9
118,1.18,61.11
119,1.18,61.12
120,1.18,61.16
121,1.19,61.08
122,1.18,61.47
123,1.17,61.73
124,1.18,61.58
125,1.17,61.87
126,1.17,62.0
127,1.17,62.02
128,1.17,62.27
129,1.17,62.19
130,1.17,62.36
131,1.17,62.51
132,1.16,62.42
133,1.16,62.68
134,1.17,62.74
135,1.17,62.5
136,1.17,62.79
137,1.16,62.58
